slug,name,brand,current_price,is_drip_exclusive,stockx_price
adidas-gazelle-indoor-bad-bunny-cabo-rojo,Adidas Gazelle Indoor Bad Bunny Cabo Rojo,Adidas,190,,
adidas-handball-spezial-earth-strata,Adidas Handball Spezial Earth Strata,Adidas,120,,
adidas-handball-spezial-shadow-red,Adidas Handball Spezial Shadow Red,Adidas,120,,
adidas-samba-og-cow-print,Adidas Samba OG Cow Print,Adidas,130,,
adidas-samba-og-maroon-crystal-sand,Adidas Samba OG Maroon Crystal Sand,Adidas,120,,
adidas-samba-og-preloved-red-leopard,Adidas Samba OG Preloved Red Leopard,Adidas,120,,
adidas-samba-og-sporty-rich-white-bold-gold,Adidas Samba OG Sporty & Rich White Bold Gold,Adidas,220,,
adidas-samba-og-sporty-rich-white-core-burgundy,Adidas Samba OG Sporty & Rich White Core Burgundy,Adidas,220,,
adidas-samba-og-wonder-white-maroon,Adidas Samba OG Wonder White Maroon,Adidas,140,,
adidas-sl-72-og-cow-print,Adidas SL 72 OG Cow Print,Adidas,110,,
asics-gel-1130-cream-blueberry-1,ASICS Gel-1130 Cream Blueberry,ASICS,130,,
asics-gel-1130-dark-neptune,ASICS Gel-1130 Dark Neptune,ASICS,120,,
asics-gel-kayano-14-cream-black-metallic-plum,ASICS Gel-Kayano 14 Cream Black Metallic Plum,ASICS,190,,
asics-gel-kayano-14-cream-sweet-pink-1,ASICS Gel-Kayano 14 Cream Sweet Pink,ASICS,170,,
asics-gel-kayano-14-white-fjord-grey,ASICS Gel-Kayano 14 White Fjord Grey,ASICS,160,,
asics-gel-kayano-14-white-graphite-grey,ASICS Gel-Kayano 14 White Graphite Grey,ASICS,160,,
crybaby-wild-but-cutie-series-vinyl-plush-pendant-blind-box,CRYBABY Wild but Cutie Series - Vinyl Plush Pendant Blind Box,Drip Exclusive,80,YES,
drip-logo-hoodie-black,DRIP LOGO HOODIE BLACK,Drip Exclusive,115,YES,
drip-logo-hoodie-2,DRIP LOGO HOODIE GREY,Drip Exclusive,115,YES,
labubu-the-monsters-exciting-macarons-vinyl-face-blind-box,Labubu The Monsters 'Exciting Macarons' Vinyl Face Blind Box,Drip Exclusive,65,YES,
labubu-the-monsters-have-a-seat-vinyl-plush-blind-box,Labubu The Monsters 'Have a Seat' Vinyl Plush Blind Box,Drip Exclusive,60,YES,
labubu-the-monsters-big-into-energy-series-vinyl-plush-pendant-blind-box,Labubu The Monsters Big into Energy Series-Vinyl Plush Pendant Blind Box,Drip Exclusive,70,YES,
labubu-the-monsters-coca-cola-series-vinyl-face-blind-box,Labubu The Monsters COCA-COLA Series-Vinyl Face Blind Box,Drip Exclusive,115,YES,
pop-mart-labubu-the-monsters-pin-for-love-series-vinyl-plush-pendant-a-n-single-blind-box,Pop Mart Labubu The Monsters Pin for Love Series(A-N),Drip Exclusive,40,YES,
the-monsters-wacky-mart-series-figures,THE MONSTERS Wacky Mart Series Figures,Drip Exclusive,45,YES,
fear-of-god-essentials-hoodie-stretch-limo,Fear of God Essentials Hoodie Stretch Limo,Essentials,130,,
fear-of-god-essentials-relaxed-hoodie-dark-oatmeal,Fear of God Essentials Relaxed Hoodie Dark Oatmeal,Essentials,130,,
fear-of-god-essentials-shorts-jet-black,Fear of God Essentials shorts 'Jet Black',Essentials,90,,
fear-of-god-essentials-ss22-sweatshorts-stretch-limo,Fear of God Essentials SS22 Sweatshorts 'Stretch Limo',Essentials,90,,
jersey-crewneck-t-shirt,Jersey Crewneck T-Shirt,Essentials,80,,
fear-of-god-essentials-ss22-tee-dark-oatmeal,Fear of God Essentials SS22 Tee 'Dark Oatmeal',Fear of God,70,,
fear-of-god-essentials-t-shirt-light-oatmeal-fw22,Fear of God Essentials T-shirt 'Light Oatmeal' FW22,Fear of God,70,,
air-jordan-1-high-chicago-lost-and-found-reimagined,Air Jordan 1 High Chicago Lost And Found (Reimagined),Jordan,300,,
